ciudad,latitude,longitude
Sax,38.5350323,-0.818913
Caspe,41.2368318,-0.0394842
Prado del Rey,36.7879415,-5.5572276
Bigastro,38.0628171,-0.8996755
Las Chafiras,28.0478736,-16.6227498
Club Encinas,40.4194775,-3.8615781
Almargen,37.0024585,-5.0218486
La Hornera,28.453889,-16.3
Paracuellos de Jarama,40.5048527,-3.5317621
Portals Nous,39.5350261,2.5704976
Ibi,38.623288,-0.5730513
Móra d'Ebre,41.0893373,0.6412887
Bailén,38.096787,-3.7765601
Cambrils,41.0679423,1.0657579
Talayuela,39.9859921,-5.6096048
Herrera del Duque,39.1676109,-5.0504659
Calahorra,42.3035212,-1.9648758
Monserrat,39.3576494,-0.6031
Acea de Ama,43.3180262,-8.3713676
Montilla,37.5811178,-4.6414726
El Verger,38.8454922,0.0104379
Lucena,37.4091334,-4.4860128
Manzanares,38.9962242,-3.3722143
Boimorto,43.012561,-8.1387648
Vélez-Málaga,36.7818354,-4.0988099
Poligono Tres Caminos,36.4697773,-6.1722297
La Seu d'Urgell,42.3575723,1.4560067
Playa Lisa,38.1906568,-0.5811507
Castellciutat,42.3552954,1.4438139
Vullpellac,41.9605554,3.0547825
Ontinyent,38.8208523,-0.6099929
Guardamar del Segura,38.0899985,-0.65381
Cerceda,43.1626367,-8.5034757
Tudela,42.063972,-1.6053391
Buenas Noches,36.3931693,-5.2053765
Beniparrell,39.3819923,-0.4119964
Los Tanagos,43.3733304,-4.4651939
Armunia,42.5746026,-5.5886723
Laguna de Duero,41.582811,-4.7214404
Deiro,42.543386,-8.8131377
Arizgoiti,43.2357962,-2.8909703
Carbajosa de la Sagrada,40.9329307,-5.6508263
Redován,38.1151709,-0.9069281
Camargo,43.40794,-3.88487
Puente Tocinos,37.9948098,-1.1002079
Sant Pau de Segúries,42.2633408,2.366055
Irun,43.3383176,-1.7888095
Verín,41.9406091,-7.4406032
San Benito,37.9641335,-1.125496
Albox,37.3880282,-2.1455544
Zaratamo,43.211818,-2.873426
Paiporta,39.4279722,-0.4184254
Rosselló,41.694083,0.5962386
Los Palacios y Villafranca,37.1582119,-5.9244567
Aldeaseca de La Armuña,41.0140845,-5.6615786
Santiago y Zaraiche,38.0047401,-1.1297455
Urbi,42.8332958,-1.5795096
Monteprincipe,40.397938,-3.8357916
Añover de Tajo,39.9877375,-3.7660548
Cañada Hermosa,37.9933532,-1.3135695
Churra Cabezo de Torres,38.062631,-1.1466642
Molina de Segura,38.0572339,-1.2095298
El Villar de Arnedo,42.318377,-2.093425
Churriana,36.674979,-4.495675
Puente Botero,37.6444779,-1.6952879
Cordovilla,40.9512623,-5.4070677
Alqueria,38.780725,-0.4326922
Aeropuerto de Noain,42.7711444,-1.6456215
Ventas del Carrizal,37.5406086,-3.9944282
Cocentaina,38.744158,-0.4400707
Vilamalla,42.2165982,2.9708293
Ocaña,39.9586665,-3.5007717
Picanya,39.4353965,-0.4358777
Albolote,37.2306219,-3.6570779
Malgrat de mar,41.6459118,2.7414054
Sant Feliu de Guíxols,41.7838827,3.0283195
Albatera,38.1786069,-0.8695616
Iniesta,39.444555,-1.7487477
L' Escala,42.113535,3.1387422
Tarazona,41.9065093,-1.7216461
Petra,39.6134574,3.1128071
Segovia,40.9481192,-4.1172101
L' Olleria,38.9144633,-0.5535651
